Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL,My ret (%),Joachim ret (%),slippage,cum slippage,joachim ent,joachim ext
6e49c6f6d9_NQ1Ind_353,NASDAQ 100 E-MINI,NQ1 Index,13/08/2018,17/08/2018,9148.5,9104,95693310,523,-485220,,,,,,
6e49c6f6d9_NQ1Ind_354,NASDAQ 100 E-MINI,NQ1 Index,09/10/2018,15/10/2018,9085.25,8870.25,94486600,520,-2830490,,,,,,
6e49c6f6d9_NQ1Ind_355,NASDAQ 100 E-MINI,NQ1 Index,22/10/2018,26/10/2018,8800,8575.5,45056000,256,-1171935,,,,,,
6e49c6f6d9_NQ1Ind_356,NASDAQ 100 E-MINI,NQ1 Index,13/11/2018,19/11/2018,8528.5,8568.5,38037110,223,246380,,,,,,
6e49c6f6d9_NQ1Ind_357,NASDAQ 100 E-MINI,NQ1 Index,21/11/2018,27/11/2018,8226,8333,38333160,233,565630,,,,,,
6e49c6f6d9_NQ1Ind_358,NASDAQ 100 E-MINI,NQ1 Index,07/12/2018,12/12/2018,8518,8374,40886400,240,-710740,,,,,,
6e49c6f6d9_NQ1Ind_359,NASDAQ 100 E-MINI,NQ1 Index,18/12/2018,27/12/2018,8156.25,7950,42086250,258,-795785,,,,,,
6e49c6f6d9_NQ1Ind_360,NASDAQ 100 E-MINI,NQ1 Index,04/01/2019,07/01/2019,7829,8118.25,33351540,213,1174355,,,,,,
6e49c6f6d9_NQ1Ind_361,NASDAQ 100 E-MINI,NQ1 Index,11/02/2019,13/02/2019,8583.75,8684.25,65751525,383,770080,,,,,,
6e49c6f6d9_NQ1Ind_362,NASDAQ 100 E-MINI,NQ1 Index,08/03/2019,12/03/2019,8696.5,8840.5,121577070,699,2006855,,,,,,
6e49c6f6d9_NQ1Ind_363,NASDAQ 100 E-MINI,NQ1 Index,27/03/2019,01/04/2019,9017.25,9070.5,85663875,475,497830,,,,,,
